#  Columms are:
#  1) T_{500}  [keV]
#  2) Gaussian error in T_{500}  [keV]
#  3) Bolometric luminosity [ergs/s]
#  4) Gaussian error in Bolometric luminosity [erg/s]

4.049 0.441 3.349e+44 2.094e+43
7.592 1.431 1.039e+45 7.059e+43
4.747 0.516 6.731e+44 4.552e+43
10.873 0.839 5.979e+45 1.788e+44
8.654 0.943 7.223e+44 1.977e+43
4.967 1.340 1.066e+45 6.791e+43
8.683 1.815 2.693e+45 1.959e+44
8.265 1.652 1.555e+45 1.243e+44
3.965 0.833 5.625e+44 6.590e+43
10.515 2.353 1.267e+46 2.787e+44
5.103 0.937 4.169e+44 3.166e+43
4.097 0.849 3.040e+44 3.801e+43
3.655 0.138 6.674e+43 1.826e+42
6.714 1.420 1.033e+45 8.650e+43
0.653 0.014 3.604e+41 1.205e+40
1.689 0.091 5.630e+42 3.630e+41
1.013 0.020 1.544e+42 6.396e+40
0.810 0.026 9.528e+41 3.101e+41
1.151 0.045 2.940e+42 9.991e+40
1.721 0.208 4.034e+42 8.343e+41
2.809 0.634 1.666e+43 2.741e+42
2.817 0.561 1.391e+44 2.683e+43
3.820 0.485 2.746e+44 2.012e+43
4.250 0.811 9.395e+44 8.794e+43
13.211 2.081 2.836e+45 1.071e+44
4.635 0.506 8.327e+44 3.827e+43
3.925 0.311 3.962e+44 2.277e+43
6.914 1.358 3.204e+44 1.496e+43
3.748 0.013 6.145e+43 1.175e+41
1.044 0.010 3.188e+42 6.082e+40
3.214 0.129 1.496e+43 3.571e+41
6.738 2.101 7.731e+41 3.603e+41
5.873 0.211 7.130e+43 1.223e+42
8.366 3.771 2.505e+44 2.037e+43
9.946 5.790 4.238e+43 1.189e+43
1.965 0.620 5.904e+43 8.526e+43
9.237 5.006 2.402e+44 2.350e+43
6.300 0.504 9.412e+44 2.330e+43
5.926 1.535 2.242e+44 1.642e+43
6.383 0.611 5.469e+44 1.228e+43
9.249 0.846 9.253e+44 2.026e+43
8.558 1.289 6.974e+44 2.373e+43
3.587 0.944 1.729e+44 1.646e+43
6.742 0.517 4.690e+44 1.613e+43
7.108 0.927 5.917e+44 2.158e+43
8.142 0.801 1.047e+45 2.287e+43
4.192 0.734 8.114e+43 4.253e+42
4.798 1.011 4.127e+44 3.768e+43
6.632 0.610 7.137e+44 1.666e+43
3.735 0.325 3.275e+44 1.959e+43
10.197 1.708 1.920e+45 5.208e+43
9.024 0.428 3.023e+45 2.372e+43
7.231 0.708 1.815e+45 5.530e+43
5.148 1.837 2.923e+44 4.480e+43
5.611 0.866 6.554e+44 4.629e+43
4.651 0.295 1.073e+44 2.431e+42
6.813 1.329 2.797e+44 1.407e+43
4.292 0.220 2.050e+44 3.865e+42
6.550 0.122 6.372e+44 4.287e+42
8.730 3.329 2.928e+44 2.717e+43
4.485 0.477 3.231e+44 1.509e+43
7.093 2.144 4.583e+44 3.030e+43
4.472 0.282 5.477e+44 1.172e+43
5.780 0.234 5.234e+44 6.749e+42
5.916 0.374 4.423e+44 8.684e+42
4.675 0.630 1.701e+44 1.049e+43
4.298 0.098 2.797e+44 2.760e+42
3.000 0.206 3.541e+43 2.163e+42
10.190 0.442 2.724e+45 1.773e+43
4.271 0.623 3.698e+44 2.474e+43
2.243 0.173 1.610e+43 1.732e+42
